Plot_ID,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Typology_ID
TmP7,9,0.985,0.5389999999999999,19.03031606201734,2.855053310580858,21.2696171651,1.7859883176606266,0.755327155532082,26.635,25.25,T4
TmP8,7,0.935,0.4641666666666666,15.879948810334218,2.2501527052475296,35.05242623666666,1.3943505685635922,0.8415366209001289,22.84166666666667,22.725,T3
TmP9,9,0.973,0.553076923076923,15.169469782262976,2.4758827057602915,25.12006452392308,1.6330604151148294,0.9328925339061472,60.93076923076923,29.084615384615383,T2
TmP10,10,0.96,0.5299999999999999,14.005026947756502,2.3506409588723045,23.596172964666664,1.4665960823323403,0.8460223445595917,39.77,28.186666666666667,T2
TsP1,7,0.886,0.42,16.76091873229167,1.3221971321881052,29.378471376000007,2.071419731327252,0.8033516727161705,26.86875,27.475,T3
TsP3,7,0.921,0.4716666666666667,14.408525244381734,1.8725554847271952,35.98837681716667,1.7986008371256086,0.8054622874677466,33.641666666666666,34.225,T3
TsP4,4,0.793,0.373076923076923,19.012334970770784,2.338729322104515,24.01412413307693,1.039274247121184,0.6536842703753618,25.01538461538462,25.973076923076924,T4
TsP5,3,0.761,0.3566666666666667,19.43329723333501,2.641398468480353,22.96726408083333,0.9417009797196452,0.8311202849484767,24.05,25.2375,T4
TsP6,10,0.898,0.4085714285714286,14.186070633511733,1.8359262242725136,27.00750107457143,1.967378855447456,0.7889829574255341,26.34117647058824,26.829411764705885,T3
TsP7,7,0.888,0.3945454545454545,17.09377389574231,2.2781227855781108,28.358493492636363,1.3625709657138958,0.6428156155285367,27.568181818181817,28.38636363636364,T4
TsP8,4,0.844,0.3642307692307692,18.55092468211849,2.4763326738079297,24.464577118846154,1.060409863605516,0.5818535306507242,25.16538461538461,26.246153846153845,T4
TsP9,7,0.821,0.3686666666666666,18.77298264767117,1.5270858202320168,31.69900024433333,1.79619465045184,0.7469723455373086,24.315384615384616,24.04230769230769,T3
TsP10,8,0.926,0.3947058823529412,15.12998959602362,1.919596196562868,33.17777586458823,1.5791042214997209,0.8344909759474685,30.147058823529413,30.65882352941177,T3
TuP1,5,0.963,0.4285714285714285,23.138102740162505,2.542324117783896,25.885846657142856,2.924414402508278,0.8368043234288152,21.942857142857147,23.285714285714285,T3
TuP2,5,0.935,0.422,14.732409474040589,2.1782195402115723,22.915288954,1.959219209608106,0.740609470032363,25.47777777777777,25.88888888888889,T3
TuP4,6,0.884,0.3975,16.01052149172304,2.56873566013062,12.861354954166666,1.6212802726868671,0.6211304822764273,23.59166666666667,24.075000000000003,T4
TuP5,3,0.937,0.4609999999999999,14.027696440190926,3.541148496372573,21.315288953,0.8766009122519117,0.8473649978786075,23.01,23.51,T4
TuP6,8,1.0,0.465,15.374096912973808,2.2948892355123345,33.84116678875,2.0604414160492137,0.9002868663845721,19.585714285714285,22.085714285714285,T3
TuP7,5,0.845,0.462,19.500591270131288,2.757038836144053,14.096074128,1.6967334502757114,0.8095514769234377,21.7,22.49,T4
TuP8,6,0.936,0.4366666666666667,17.19161443907483,2.4400750203809807,12.592917716666667,1.6714786505929893,0.6036441468529236,22.044444444444444,23.57777777777778,T4
TuP9,4,0.875,0.38625,17.280550542709843,2.7281310911425773,19.16703243125,1.638172594265633,0.6035589265149872,20.15,21.0875,T4
TuP10,6,0.976,0.4157142857142856,17.88875844584386,2.9357428116950035,21.097328177142856,1.5315754549363598,0.7360775975341488,22.957142857142856,23.67142857142857,T4
