Experiment_ID,Selected_Model,Target,Plot_ID,Observed,N_OOF_Predictions,Mean_OOF_Prediction,SD_OOF_Prediction,Min_OOF_Prediction,Max_OOF_Prediction,Mean_Error,Mean_Absolute_Error,RMSE,Habitat,Zone,Absolute_Bias,Prediction_Range,MAE_Percentile,Prediction_SD_Percentile,Uncertainty_Class
CD01_CWM_WD,RIDGE,CWM_WD,TsP3,0.4716666666666667,20,0.49607072819600484,0.005527948335445819,0.4853258113014367,0.5051686169773819,0.024404061529338127,0.024404061529338127,0.02499176907077831,Stream,Transition,0.024404061529338127,0.019842805675945208,0.2777777777777778,0.3888888888888889,LOW
CD01_CWM_WD,RIDGE,CWM_WD,TsP4,0.373076923076923,20,0.49208314469660247,0.011407752793326453,0.47537775945802174,0.5260406035908018,0.11900622161967948,0.11900622161967948,0.1195245195212942,Stream,Transition,0.11900622161967948,0.050662844132780105,0.8888888888888888,0.9555555555555556,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,TsP5,0.3566666666666667,20,0.49252756874233167,0.012992548864595263,0.47719257555581307,0.5272591631277412,0.13586090207566498,0.13586090207566498,0.13644981026924288,Stream,Transition,0.13586090207566498,0.05006658757192817,0.9444444444444444,0.9888888888888889,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,TsP6,0.4085714285714286,20,0.5607624339413266,0.0032196162704384718,0.5548713206349369,0.5679939642353783,0.15219100536989802,0.15219100536989802,0.1522233548046513,Stream,Transition,0.15219100536989802,0.013122643600441353,0.9666666666666667,0.022222222222222223,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,TsP7,0.3945454545454545,20,0.508236094563353,0.003960766324510034,0.5016798399454306,0.5168462102015035,0.11369064001789841,0.11369064001789841,0.11375616429039294,Stream,Transition,0.11369064001789841,0.015166370256072814,0.8666666666666667,0.08888888888888889,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,TsP8,0.3642307692307692,20,0.47029157877121025,0.00943414666064669,0.4529534417315966,0.4905640452391983,0.10606080954044109,0.10606080954044109,0.10645866938595268,Stream,Transition,0.10606080954044109,0.0376106035076017,0.8111111111111111,0.8777777777777778,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,TsP9,0.3686666666666666,20,0.537147658786875,0.009529394613489388,0.5178434591957124,0.5589695794855124,0.16848099212020837,0.16848099212020837,0.16873681755747422,Stream,Transition,0.16848099212020837,0.041126120289800006,0.9888888888888889,0.9,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,TuP1,0.4285714285714285,20,0.44679530489648805,0.005703412682423224,0.43842641224174816,0.45864578671792455,0.018223876325059608,0.018223876325059608,0.01905287743953109,Upland,Transition,0.018223876325059608,0.02021937447617639,0.2,0.4666666666666667,LOW
CD01_CWM_WD,RIDGE,CWM_WD,TuP10,0.4157142857142856,20,0.4619229163149222,0.005930689871598771,0.454172704533038,0.47489103855485826,0.04620863060063661,0.04620863060063661,0.046568787510751455,Upland,Transition,0.04620863060063661,0.020718334021820273,0.5111111111111111,0.5222222222222223,LOW
CD01_CWM_WD,RIDGE,CWM_WD,TuP2,0.422,20,0.4565366690651884,0.0049096812799962735,0.4475935077674216,0.46534640403840943,0.03453666906518841,0.03453666906518841,0.03486662059729808,Upland,Transition,0.03453666906518841,0.01775289627098786,0.37777777777777777,0.26666666666666666,LOW
CD01_CWM_WD,RIDGE,CWM_WD,TuP3,0.4644444444444444,20,0.37611415652033353,0.0057116592566689335,0.368105408309816,0.38855390230945164,-0.08833028792411085,0.08833028792411085,0.08850554594853026,Upland,Transition,0.08833028792411085,0.020448493999635664,0.7444444444444445,0.4777777777777778,LOW
