Experiment_ID,Predictor_Domain,Target_Domain,Target,Leakage_Status,Metric,Ridge_Mean,Ridge_SD,Ridge_Median,Null_Mean,Mean_Improvement,Proportion_Folds_Better_Than_Null
CD09_Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,R2,-0.1674008605431667,0.3743263885942019,-0.022283470145218143,-0.10676895627267545,-0.060631904270491276,0.59
CD09_Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,RMSE,6.727203499785722,1.5626467284961274,6.328684226319245,6.68309599597913,-0.04410750380659278,0.59
CD09_Estimated_Mean_Height,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,MAE,3.5163451022049426,0.545571268274542,3.556401594715135,3.487169463849504,-0.029175638355438425,0.6
CD09_Estimated_Mean_Height,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,R2,-0.14792561786954375,0.3109271291345185,-0.05148555147218081,-0.09600275232668302,-0.05192286554286074,0.54
CD09_Estimated_Mean_Height,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,RMSE,4.549545659396812,0.7389727026559962,4.536308611673106,4.481260060633461,-0.06828559876335134,0.54
CD10_Pielou,STRUCTURAL,TAXONOMIC,Pielou,ELIGIBLE,MAE,0.04166733642504696,0.007294370472294486,0.04162549022918238,0.048279027777777775,0.0066116913527308144,0.94
CD10_Pielou,STRUCTURAL,TAXONOMIC,Pielou,ELIGIBLE,R2,0.06972435425909917,0.19880905742289925,0.11543179660107489,-0.08044826593937296,0.15017262019847213,0.84
CD10_Pielou,STRUCTURAL,TAXONOMIC,Pielou,ELIGIBLE,RMSE,0.053102384997669734,0.008732848415557664,0.05252231971716115,0.05744769060066612,0.004345305602996383,0.84
CD10_Richness,STRUCTURAL,TAXONOMIC,Richness,ELIGIBLE,MAE,2.875504140367043,0.4039576758815261,2.8324219414161083,2.8911574074074076,0.015653267040364276,0.64
CD10_Richness,STRUCTURAL,TAXONOMIC,Richness,ELIGIBLE,R2,-0.06860874640634824,0.17294964380886832,-0.033066213661942734,-0.07554967518188511,0.0069409287755368854,0.66
CD10_Richness,STRUCTURAL,TAXONOMIC,Richness,ELIGIBLE,RMSE,3.372678641683598,0.40923875424148387,3.3348979988465226,3.397972779336401,0.02529413765280329,0.66
CD11_CWM_Log10_Seed_Mass,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,MAE,0.2943465048422105,0.052792153970594904,0.29327754277425877,0.2938298779035546,-0.000516626938655872,0.57
CD11_CWM_Log10_Seed_Mass,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,R2,-0.04943109785505794,0.32049613478555605,0.013623200040463024,-0.06736806411699126,0.017936966261933317,0.66
CD11_CWM_Log10_Seed_Mass,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,RMSE,0.38957496275095144,0.0727445345231729,0.390790165171477,0.3961090275742244,0.006534064823272892,0.66
CD11_CWM_Max_Height_m,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,MAE,3.4711676681807297,0.7693185205554487,3.490412486942774,3.3578588252079595,-0.11330884297277014,0.25
CD11_CWM_Max_Height_m,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,R2,-0.09552328185191258,0.13176464269385946,-0.055406616909727036,-0.05466390733901409,-0.04085937451289849,0.39
CD11_CWM_Max_Height_m,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,RMSE,4.611490082269245,1.072883759731635,4.579980103639323,4.538766656614668,-0.07272342565457633,0.39
CD11_CWM_SLA,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,MAE,2.106879126032354,0.4023297969498846,2.129347347684497,2.0496297119955527,-0.057249414036801255,0.43
CD11_CWM_SLA,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,R2,-0.11396188704159439,0.21010003064245347,-0.05531852083467825,-0.08876884806952633,-0.025193038972068055,0.55
CD11_CWM_SLA,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,RMSE,2.6583032137138995,0.4864594858368643,2.6471668435598614,2.6381552872525176,-0.020147926461382467,0.55
CD11_CWM_WD,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE,MAE,0.08305257514486629,0.010794163639245796,0.0828557641939584,0.08121324546540512,-0.0018393296794611763,0.22
CD11_CWM_WD,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE,R2,-0.11521760051963709,0.1413733437714996,-0.07281815026739569,-0.0739748160255773,-0.04124278449405978,0.09
CD11_CWM_WD,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE,RMSE,0.09696847359230755,0.010453344901374971,0.0963020017543783,0.09526896686825298,-0.0016995067240545764,0.09
CD12_FDis,STRUCTURAL,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE,MAE,0.20304314932214215,0.04541672607724007,0.1976566232773488,0.19874227691935084,-0.0043008724027913305,0.43
CD12_FDis,STRUCTURAL,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE,R2,-0.1312321466024759,0.35242708384987215,-0.07292432283088379,-0.0837136200316432,-0.0475185265708327,0.51
CD12_FDis,STRUCTURAL,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE,RMSE,0.2793848629565068,0.07792344417147831,0.25850302980033746,0.27579122449914584,-0.003593638457360909,0.51
CD12_FEve,STRUCTURAL,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE,MAE,0.061873247705370366,0.01304445001718327,0.06057288244503167,0.0642923870316549,0.0024191393262845274,0.73
CD12_FEve,STRUCTURAL,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE,R2,-0.007749447736890502,0.17280446025021845,0.01342584289933818,-0.078437868058859,0.0706884203219685,0.77
CD12_FEve,STRUCTURAL,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE,RMSE,0.08111409324588356,0.019070745152964853,0.07759961687767432,0.08391864114093417,0.0028045478950506114,0.77
