Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,Plot9,Plot10,Frequency,Individuals,Density,Relative_Density,Relative_Frequency,RIV,Zone,Habitat
Tetrapleura tetraptera,1.0,,,,,1.0,,,,,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River
Trichilia monadelpha,,,6.0,,,3.0,1.0,,,3.0,4,13,0.0179,9.489,4.9382,7.2136,Transition,Major River
Uapaca heudeloti,,1.0,,,,1.0,,,,,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River
27,,,,,,,,,,,81,137,0.1889,100.0,100.0,100.0,Transition,Major River
Albizia zygia,,,1.0,,,,1.0,,,,2,2,0.0027,0.9569,3.2258,2.0914,Transition,Stream
Alstonei bonei,,1.0,1.0,4.0,,1.0,4.0,3.0,,4.0,7,18,0.0248,8.6124,11.29,9.9514,Transition,Stream
Anthocliesta vogelii,1.0,,1.0,14.0,12.0,,7.0,12.0,1.0,3.0,8,51,0.0703,24.401,12.903,18.653,Transition,Stream
Bombax buonopozense,,1.0,,,,1.0,,,11.0,,3,13,0.0179,6.2201,4.8387,5.5294,Transition,Stream
Bridelia ferruginea,1.0,,2.0,,,2.0,1.0,,,1.0,5,7,0.0096,3.3492,8.0645,5.7069,Transition,Stream
Cleistoformis patens,4.0,2.0,,7.0,11.0,4.0,5.0,9.0,4.0,3.0,9,49,0.0675,23.445,14.516,18.981,Transition,Stream
Elaeis guinensis,2.0,4.0,,,,4.0,,,4.0,,4,14,0.0193,6.6985,6.4516,6.5751,Transition,Stream
Ficus mucosa,6.0,3.0,1.0,,,5.0,,,8.0,1.0,6,24,0.0331,11.483,9.6774,10.58,Transition,Stream
Gmelina arborea,,,2.0,1.0,1.0,,2.0,2.0,,1.0,6,9,0.0124,4.3062,9.6774,6.9918,Transition,Stream
Harungana madagascariensis,,,,,,1.0,,,,1.0,2,2,0.0027,0.9569,3.2258,2.0914,Transition,Stream
Macranga bateri,1.0,,,,,1.0,,,,,2,2,0.0027,0.9569,3.2258,2.0914,Transition,Stream
Nauclea diderrichii,3.0,,,,,,,,1.0,,2,4,0.0055,1.9138,3.2258,2.5698,Transition,Stream
Termialia superba,,1.0,4.0,,,1.0,2.0,,,3.0,5,11,0.0151,5.2631,8.0645,6.6638,Transition,Stream
Theobroma cacao,,1.0,,,,1.0,,,1.0,,3,3,0.0041,1.4354,4.8387,3.1371,Transition,Stream
14,,,,,,,,,,,62,209,0.2882,100.0,100.0,100.0,Transition,Stream
Artocarpus communis,,,,,5.0,,,,2.0,,2,7,0.009655,7.77778,4.0,5.888889,Transition,Upland
Bambusa vulgaris,,,,,,1.0,,1.0,,,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland
Bombax buonopozene,,1.0,,,,,,,,1.0,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland
Carica papaya,,,,1.0,,,,1.0,,,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland
Ceiba pentandra,1.0,,,,,1.0,,,1.0,,3,3,0.004138,3.33333,6.0,4.666667,Transition,Upland
Chrysophyllum albidum,,,,,,1.0,,,,,1,1,0.001379,1.11111,2.0,1.555556,Transition,Upland
Citrus sinenses,,,,1.0,,,,,,,1,1,0.001379,1.11111,2.0,1.555556,Transition,Upland
Cola nitida,,,,,3.0,,1.0,,,1.0,3,5,0.006897,5.55556,6.0,5.777778,Transition,Upland
Dracena manni,1.0,,,,,,,1.0,,1.0,3,3,0.004138,3.33333,6.0,4.666667,Transition,Upland
Elaeis guineense,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,,1.0,9,19,0.026207,21.1111,18.0,19.55556,Transition,Upland
Ficus exasperata,,,,1.0,,,1.0,1.0,1.0,,4,4,0.005517,4.44444,8.0,6.222222,Transition,Upland
Ficus mucuso,,1.0,,,,1.0,,,,,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland
